Date,Clock Time,Location,Severity,Vehicle Details,Causes,Highway Type,Count,Latitude,Longitude,Weather,Time Category
11-07-2023,15:59,Odisha,Fatal,Bus,Use of Mobile Phone,National Highways under Other department,87,25.741567292799466,96.62212211572744,Clear,Afternoon
02-11-2023,08:51,Maharashtra,Fatal,Van,Over-speeding,National Highways under Other department,5,25.991264028083556,89.37596204321275,Clear,Morning
07-04-2023,09:29,Chandigarh,Accident,Auto-rickshaw,Drunk driving,National Highways under Other department,49,31.616821719374272,96.33508023525974,Clear,Morning
25-08-2023,04:56,Uttar Pradesh,Fatal,Two-wheeler,Over-speeding,National Highways under Other department,5,23.371878123198194,84.66852615266059,Clear,Night
04-06-2023,18:40,Bihar,Fatal,Van,Driving on Wrong side,National Highways under NHAI,60,34.705091737329006,96.86080377216688,Stormy,Evening
09-09-2023,13:10,Punjab,Accident,Truck,Use of Mobile Phone,National Highways under Other department,56,26.749622975330862,89.46444474751993,Rainy,Afternoon
03-04-2023,11:54,West Bengal,Fatal,Van,Use of Mobile Phone,National Highways under Other department,100,26.810073895793003,81.99015623977208,Rainy,Morning
23-07-2023,21:21,Delhi,Fatal,Tractor,Drunk driving,National Highways under State PWD,3,23.596833349261573,90.59836110123221,Rainy,Night
18-05-2023,16:17,Madhya Pradesh,Fatal,Car,Over-speeding,National Highways under NHAI,100,28.435132625595003,72.18515060455196,Foggy,Afternoon
16-04-2023,10:02,Telangana,Accident,Truck,Use of Mobile Phone,National Highways under NHAI,42,15.65124201237861,69.68284750260602,Stormy,Morning
29-07-2023,08:23,Assam,Fatal,Car,Driving on Wrong side,National Highways under NHAI,90,21.905217987206647,71.80558050847463,Foggy,Morning
23-05-2023,02:33,Uttar Pradesh,Fatal,Auto-rickshaw,Drunk driving,National Highways under State PWD,89,23.570094107334302,86.53973807794104,Rainy,Night
18-04-2023,20:58,Uttar Pradesh,Fatal,Tractor,Fatigue,National Highways under NHAI,100,30.49483954943712,80.07412116119285,Clear,Evening
01-04-2023,08:17,Madhya Pradesh,Fatal,Bus,Driving on Wrong side,National Highways under NHAI,85,16.486714598255645,81.6121619410601,Rainy,Morning
20-10-2023,19:45,Telangana,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under NHAI,34,13.625769050073494,73.18947587170501,Clear,Evening
27-02-2023,08:37,Goa,Fatal,Auto-rickshaw,Use of Mobile Phone,National Highways under State PWD,93,13.988601727509282,86.04419316339641,Foggy,Morning
10-08-2023,20:24,Bihar,Fatal,Auto-rickshaw,Over-speeding,National Highways under Other department,10,28.04068281764646,85.43656940965258,Clear,Evening
02-04-2023,02:32,Haryana,Accident,Truck,Fatigue,National Highways under Other department,3,17.605121398627325,94.86711659897138,Rainy,Night
29-05-2023,10:04,Madhya Pradesh,Accident,Tractor,Use of Mobile Phone,National Highways under State PWD,36,29.970431011637018,78.56948669992238,Stormy,Morning
12-08-2023,08:04,Punjab,Fatal,Tractor,Drunk driving,National Highways under State PWD,57,20.027413253250316,71.4367176941979,Rainy,Morning
02-12-2023,14:39,Punjab,Fatal,Auto-rickshaw,Use of Mobile Phone,National Highways under Other department,93,22.563799178366484,85.51236004662209,Rainy,Afternoon
26-07-2023,03:42,Chandigarh,Fatal,Auto-rickshaw,Use of Mobile Phone,National Highways under NHAI,37,12.352266115591117,76.56286903814565,Foggy,Night
18-10-2023,03:14,Goa,Fatal,Tractor,Driving on Wrong side,National Highways under State PWD,63,34.221839033935794,83.12106020497163,Rainy,Night
29-11-2023,18:00,Goa,Accident,Tractor,Over-speeding,National Highways under State PWD,8,11.254056116678392,68.17823032995398,Rainy,Evening
31-10-2023,12:16,Goa,Accident,Van,Use of Mobile Phone,National Highways under NHAI,20,34.94055450075787,68.96699464548186,Clear,Afternoon
20-05-2023,04:58,Jharkhand,Accident,Two-wheeler,Use of Mobile Phone,National Highways under Other department,44,26.939897222195274,87.42416413523132,Foggy,Night
08-11-2023,02:47,Maharashtra,Fatal,Car,Use of Mobile Phone,National Highways under NHAI,21,21.263507868550324,78.47240985858367,Clear,Night
10-08-2023,15:58,Gujarat,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under State PWD,73,21.714177416120627,80.92243730133208,Foggy,Afternoon
03-04-2023,18:45,Gujarat,Fatal,Auto-rickshaw,Driving on Wrong side,National Highways under State PWD,8,29.295038377345104,87.39723738416798,Stormy,Evening
26-01-2023,21:59,Karnataka,Fatal,Two-wheeler,Drunk driving,National Highways under State PWD,49,30.26025708880882,78.82103824323349,Stormy,Night
02-01-2023,09:09,Andaman and Nicobar Island,Accident,Two-wheeler,Use of Mobile Phone,National Highways under State PWD,97,11.153501971957848,71.7965190925374,Rainy,Morning
09-11-2023,13:41,Goa,Accident,Van,Driving on Wrong side,National Highways under State PWD,66,14.545721983574248,84.42979697327237,Clear,Afternoon
13-04-2023,10:54,Andaman and Nicobar Island,Fatal,Auto-rickshaw,Fatigue,National Highways under Other department,36,14.068890661796189,79.10642058700836,Foggy,Morning
09-07-2023,20:51,Chhattisgarh,Fatal,Tractor,Use of Mobile Phone,National Highways under NHAI,61,14.376903521124042,90.04452595994448,Clear,Evening
24-01-2023,10:45,Rajasthan,Fatal,Truck,Drunk driving,National Highways under NHAI,84,16.197355019506777,85.58627472288698,Clear,Morning
08-04-2023,01:49,Jammu and Kashmir,Accident,Van,Driving on Wrong side,National Highways under Other department,82,22.591155312719597,74.58171994978466,Stormy,Night
28-05-2023,10:27,Bihar,Fatal,Auto-rickshaw,Over-speeding,National Highways under NHAI,96,22.592289877753736,88.50877513843575,Stormy,Morning
